ticker,pack,scope,strat_pct,bh_pct,alpha_pct,sharpe,max_dd_pct,trades,win_rate
2059,pack_c,S3_covid,41.86,58.12,-16.26,1.393,12.98,8,28.6
2059,pack_c,S4_hike,97.02,43.63,53.4,2.113,19.28,3,66.7
2059,pack_c,S5_ai,48.67,623.59,-574.92,0.848,35.7,10,44.4
2059,pack_d,total,-61.14,1517.06,-1578.2,-0.666,62.55,102,25.5
2059,pack_d,S1_trump1,-34.97,-6.98,-27.99,-1.735,37.32,33,21.2
2059,pack_d,S2_late,2.26,14.18,-11.91,0.275,11.34,10,50.0
2059,pack_d,S3_covid,-17.37,58.12,-75.49,-1.001,21.88,18,27.8
2059,pack_d,S4_hike,-2.76,43.63,-46.39,-0.017,28.69,16,18.8
2059,pack_d,S5_ai,-28.75,623.59,-652.34,-0.661,31.62,25,24.0
2059,pack_e,total,95.58,1517.06,-1421.48,0.485,44.49,5,40.0
2059,pack_e,S1_trump1,0.0,-6.98,6.98,inf,,0,
2059,pack_e,S2_late,0.0,14.18,-14.18,inf,,0,
2059,pack_e,S3_covid,0.0,58.12,-58.12,inf,,0,
2059,pack_e,S4_hike,-12.93,43.63,-56.56,-0.353,24.88,1,
2059,pack_e,S5_ai,73.53,623.59,-550.05,1.013,41.61,3,33.3
2059,pack_f,total,-30.5,1517.06,-1547.57,-0.088,44.06,20,55.0
2059,pack_f,S1_trump1,-4.96,-6.98,2.02,-0.193,10.36,3,33.3
2059,pack_f,S2_late,-3.52,14.18,-17.69,-0.255,6.77,1,
2059,pack_f,S3_covid,6.21,58.12,-51.91,0.591,7.44,2,100.0
2059,pack_f,S4_hike,11.28,43.63,-32.35,0.558,15.3,3,100.0
2059,pack_f,S5_ai,-32.63,623.59,-656.22,-0.574,39.55,5,40.0
2059,pack_g,total,607.27,1517.06,-909.79,1.12,35.93,1,
2059,pack_g,S1_trump1,-12.79,-6.98,-5.82,-0.43,24.48,1,
2059,pack_g,S2_late,4.74,14.18,-9.43,0.435,10.2,1,
2059,pack_g,S3_covid,49.07,58.12,-9.05,1.932,9.21,1,
2059,pack_g,S4_hike,33.16,43.63,-10.47,0.978,23.95,1,
2059,pack_g,S5_ai,198.68,623.59,-424.91,1.789,30.5,1,
2302,pack_a,total,-29.6,320.54,-350.13,-0.184,42.86,13,38.5
2302,pack_a,S1_trump1,-7.72,34.63,-42.35,-0.36,11.64,4,25.0
2302,pack_a,S2_late,0.0,-5.51,5.51,inf,,0,
2302,pack_a,S3_covid,-7.32,144.37,-151.69,-0.06,25.02,3,33.3
2302,pack_a,S4_hike,6.45,8.85,-2.4,0.37,9.61,1,100.0
2302,pack_a,S5_ai,-24.87,17.99,-42.87,-0.835,36.42,4,25.0
2302,pack_b,total,-52.7,320.54,-373.23,-0.256,70.01,39,23.7
2302,pack_b,S1_trump1,-16.6,34.63,-51.23,-0.302,30.14,10,30.0
2302,pack_b,S2_late,-19.21,-5.51,-13.7,-3.241,19.21,3,0.0
2302,pack_b,S3_covid,48.38,144.37,-95.98,0.926,34.84,6,33.3
2302,pack_b,S4_hike,-1.31,8.85,-10.15,0.079,21.52,4,66.7
2302,pack_b,S5_ai,-49.67,17.99,-67.66,-1.707,51.92,13,8.3
2302,pack_c,total,-48.11,320.54,-368.65,-0.22,65.02,34,18.2
2302,pack_c,S1_trump1,-16.31,34.63,-50.94,-0.302,29.12,8,25.0
2302,pack_c,S2_late,-19.21,-5.51,-13.7,-3.241,19.21,3,0.0
2302,pack_c,S3_covid,48.38,144.37,-95.98,0.926,34.84,6,33.3
2302,pack_c,S4_hike,-2.63,8.85,-11.48,-0.009,14.58,2,50.0
